model,test_em,test_f1,test_em_se,test_f1_se
step_1300,36.16093268,43.90045382,1.18181015,0.99461379
step_2600,36.75047055,44.34154209,1.18103387,1.21725466
step_3900,37.34038113,44.96133038,1.11768549,1.27762339
step_5200,38.45609485,45.55325232,1.27411287,1.40613853
step_6500,38.06831320,45.24779120,1.22033845,1.23018541
step_7800,38.61070108,45.78856341,0.87322869,0.95306754
step_9100,38.96682548,46.01882503,1.17577094,1.26696506
step_10400,38.59543781,45.74136310,0.86059850,1.06509148
step_11700,38.37795906,45.54083332,0.95032057,1.10623039
step_13000,38.34649510,45.51658500,1.00941881,1.08525036
