model,test_em,test_f1,test_em_se,test_f1_se
step_1300,39.37001516,46.05250463,1.21738790,1.48885917
step_2600,40.17516394,46.54606095,1.08714339,1.02160804
step_3900,41.55561318,47.71964313,0.68143464,0.74476478
step_5200,40.12972279,47.41275454,0.50214546,0.60262834
step_6500,38.84290016,46.75242091,0.62364742,0.70325521
step_7800,37.83565817,45.01635977,1.29138194,1.36478099
step_9100,36.59474498,43.45477565,1.82296616,1.96430177
step_10400,37.41636365,44.41175334,1.19238940,1.12674717
step_11700,37.83405547,45.25101264,1.07507765,0.97948470
step_13000,37.41562542,44.28643754,1.18415118,0.95939091
final_model,36.87299817,43.61192440,1.42336773,1.16332189
